MouseID,DYRK1A_N,ITSN1_N,BDNF_N,NR1_N,NR2A_N,pAKT_N,pBRAF_N,pCAMKII_N,pCREB_N,pELK_N,pERK_N,pJNK_N,PKCA_N,pMEK_N,pNR1_N,pNR2A_N,pNR2B_N,pPKCAB_N,pRSK_N,AKT_N,BRAF_N,CAMKII_N,CREB_N,ELK_N,ERK_N,GSK3B_N,JNK_N,MEK_N,TRKA_N,RSK_N,APP_N,Bcatenin_N,SOD1_N,MTOR_N,P38_N,pMTOR_N,DSCR1_N,AMPKA_N,NR2B_N,pNUMB_N,RAPTOR_N,TIAM1_N,pP70S6_N,NUMB_N,P70S6_N,pGSK3B_N,pPKCG_N,CDK5_N,S6_N,ADARB1_N,AcetylH3K9_N,RRP1_N,BAX_N,ARC_N,ERBB4_N,nNOS_N,Tau_N,GFAP_N,GluR3_N,GluR4_N,IL1B_N,P3525_N,pCASP9_N,PSD95_N,SNCA_N,Ubiquitin_N,pGSK3B_Tyr216_N,SHH_N,BAD_N,BCL2_N,pS6_N,pCFOS_N,SYP_N,H3AcK18_N,EGR1_N,H3MeK4_N,CaNA_N,Genotype,Treatment,Behavior,class
309_1,0.151122,0.212885,0.824638,0.612119,0.630482,0.327006,0.448666,0.168257,0.617322,0.232553,0.157643,0.576167,0.747688,0.598504,0.574775,0.286697,0.650637,0.698164,0.622784,0.711198,0.136915,0.419649,0.317149,0.593715,0.627907,0.596269,0.640167,0.64307,0.766146,0.295596,0.549817,0.747441,0.092035,0.541196,0.152338,0.687269,0.553922,0.467278,0.509996,0.469461,0.43617,0.506018,0.163368,0.323059,0.373254,0.604516,0.303363,0.178458,0.324085,0.40281,0.083584,0.32787,0.690257,0.426816,0.412721,0.477834,0.057168,0.228825,0.531163,0.151103,0.242608,0.169702,0.432843,0.483783,0.04477,0.256699,0.405228,0.162941,0.177312,0.299172,0.426816,0.13393,0.336299,0.087715,0.10289,0.08458,0.705738,Control,Memantine,C/S,c-CS-m
309_2,0.15575,0.188226,0.776455,0.60107,0.585247,0.311887,0.429899,0.154925,0.590173,0.205362,0.159721,0.559556,0.688545,0.559598,0.502766,0.270688,0.587926,0.591606,0.629311,0.689095,0.128911,0.383669,0.291583,0.548032,0.578736,0.584234,0.614355,0.58618,0.724593,0.25184,0.491969,0.701976,0.075589,0.46765,0.137451,0.621033,0.512117,0.409897,0.457694,0.410046,0.383101,0.447496,0.145594,0.322736,0.376914,0.618918,0.302059,0.177452,0.324004,0.386524,0.084514,0.326426,0.664894,0.429952,0.463251,0.488028,0.075103,0.251911,0.576828,0.149555,0.28586,0.212421,0.472327,0.47764,0.054452,0.226088,0.433471,0.22001,0.146494,0.299172,0.429952,0.110434,0.365208,0.080692,0.115874,0.093977,0.749771,Control,Memantine,C/S,c-CS-m
309_3,0.153459,0.205696,0.793572,0.558911,0.57591,0.306369,0.441381,0.153485,0.607102,0.199194,0.154554,0.541938,0.670905,0.560573,0.554483,0.283848,0.590443,0.581558,0.669753,0.670907,0.128651,0.415579,0.292676,0.549983,0.599925,0.58079,0.625756,0.613502,0.730384,0.27056,0.472444,0.710718,0.076445,0.470688,0.137475,0.616142,0.510175,0.375653,0.467725,0.400225,0.356363,0.432379,0.125773,0.334325,0.383316,0.657565,0.332565,0.189744,0.369553,0.373234,0.094486,0.312439,0.700212,0.448652,0.415863,0.475009,0.071718,0.248192,0.607535,0.150434,0.373879,0.202733,0.467603,0.484953,0.044526,0.214719,0.429387,0.186816,0.15592,0.299172,0.448652,0.12156,0.353621,0.080465,0.10905,0.082162,0.868229,Control,Memantine,C/S,c-CS-m
309_4,0.125169,0.157688,0.637326,0.468152,0.480646,0.33553,0.444307,0.132074,0.486945,0.205135,0.127028,0.554293,0.657048,0.640641,0.413245,0.211238,0.522319,0.627585,0.687775,0.593408,0.121509,0.401866,0.319599,0.34208,0.452058,0.545716,0.625528,0.49222,0.667283,0.277208,0.44078,0.53633,0.076936,0.479533,0.144945,0.605654,0.514305,0.338199,0.461189,0.406715,0.402786,0.422989,0.267936,0.220414,0.311501,0.549444,0.364189,0.181101,0.231762,0.333033,0.076248,0.338264,0.669358,0.3927,0.372772,0.397939,0.053257,0.245676,0.562594,0.156083,0.242672,0.18479,0.364359,0.449304,0.119259,0.208943,0.407971,0.179047,0.229602,0.299172,0.3927,0.151031,0.265619,0.126763,0.164241,0.144543,0.721879,Control,Memantine,C/S,c-CS-m
309_5,0.122146,0.157838,0.637787,0.426467,0.441977,0.314976,0.4331,0.129086,0.410194,0.189152,0.117572,0.532161,0.60897,0.551236,0.401706,0.200364,0.486489,0.579839,0.698127,0.557701,0.112407,0.381348,0.297196,0.358746,0.433909,0.519977,0.599623,0.471524,0.627685,0.239874,0.410395,0.519186,0.067645,0.436522,0.121261,0.548237,0.501294,0.283304,0.416698,0.372548,0.353712,0.374357,0.262839,0.212521,0.3174,0.559551,0.376199,0.181805,0.25872,0.337126,0.079697,0.330219,0.686524,0.410187,0.385008,0.422195,0.080162,0.234762,0.6563,0.147044,0.325597,0.187625,0.393332,0.480334,0.116965,0.215528,0.480342,0.245702,0.215008,0.299172,0.410187,0.147711,0.350381,0.096959,0.136298,0.149281,0.812053,Control,Memantine,C/S,c-CS-m
309_6,0.127446,0.162396,0.660264,0.434772,0.455165,0.326476,0.443401,0.130274,0.425856,0.178274,0.122072,0.538648,0.610354,0.523499,0.395328,0.212134,0.510509,0.561624,0.72062,0.543931,0.113349,0.386333,0.320957,0.316562,0.448823,0.557847,0.600019,0.510212,0.629799,0.250233,0.3915,0.523339,0.066722,0.427554,0.096964,0.529936,0.505056,0.269388,0.418594,0.362835,0.326369,0.361411,0.251949,0.223248,0.32607,0.566565,0.372178,0.167986,0.291969,0.295575,0.087546,0.315253,0.660472,0.428686,0.362713,0.46651,0.067679,0.228451,0.571257,0.137534,0.321224,0.156783,0.377719,0.477,0.1244,0.147849,0.424557,0.170933,0.223376,0.299172,0.428686,0.140416,0.361718,0.092399,0.13807,0.129418,0.796929,Control,Memantine,C/S,c-CS-m
309_7,0.119233,0.139285,0.595656,0.413462,0.405572,0.340336,0.474112,0.109217,0.428965,0.208117,0.105557,0.560923,0.636037,0.550466,0.378984,0.180387,0.492581,0.579388,0.723477,0.520431,0.126706,0.39263,0.351639,0.264656,0.360946,0.521852,0.631204,0.481122,0.615751,0.276967,0.428056,0.45329,0.077462,0.476063,0.150316,0.616676,0.529872,0.300448,0.457095,0.392207,0.40538,0.377238,0.334648,0.138825,0.268093,0.502872,0.422203,0.17452,0.197357,0.250239,0.067758,0.3141,0.647361,0.334229,0.39242,0.32375,0.038982,0.224605,0.51512,0.15557,0.217138,0.129362,0.280205,0.392164,0.101086,0.242561,0.352179,0.127166,0.276192,0.299172,0.334229,0.152325,0.294768,0.14382,0.200445,0.178498,0.610379,Control,Memantine,C/S,c-CS-m
309_8,0.114547,0.135187,0.55637,0.382932,0.375269,0.318608,0.456977,0.108493,0.398022,0.175143,0.102975,0.523221,0.592598,0.497608,0.350748,0.174302,0.457319,0.517012,0.709192,0.50427,0.108983,0.395835,0.282633,0.251469,0.348797,0.50138,0.599357,0.440537,0.595175,0.263765,0.352246,0.45029,0.067064,0.433353,0.13455,0.551599,0.485752,0.239725,0.412892,0.342798,0.312488,0.320412,0.309902,0.150318,0.252892,0.486988,0.430084,0.16875,0.22877,0.30981,0.070993,0.321067,0.654819,0.352368,0.368283,0.366449,0.046088,0.235975,0.616723,0.133177,0.275926,0.143873,0.307495,0.456613,0.10004,0.168228,0.425014,0.176326,0.272095,0.299172,0.352368,0.161657,0.247335,0.109192,0.196252,0.184618,0.690838,Control,Memantine,C/S,c-CS-m
309_9,0.101637,0.124324,0.530237,0.327547,0.344908,0.302609,0.409986,0.08456,0.35088,0.146519,0.095829,0.486853,0.515202,0.463097,0.273235,0.157033,0.42941,0.50299,0.663995,0.479727,0.091817,0.310558,0.275601,0.221733,0.320366,0.473584,0.540128,0.393013,0.544095,0.236435,0.291192,0.394524,0.05559,0.372866,0.094472,0.490775,0.43305,0.204387,0.374988,0.283906,0.254531,0.247389,0.291141,0.161763,0.274501,0.440479,0.433486,0.178077,0.23672,0.287848,0.075566,0.312375,0.629069,0.414136,0.346228,0.376756,0.054747,0.240653,0.557632,0.129229,0.283908,0.120938,0.31794,0.450203,0.080768,0.171163,0.406226,0.150719,0.264746,0.299172,0.414136,0.1173,0.353442,0.113684,0.184882,0.180858,0.808729,Control,Memantine,C/S,c-CS-m
309_10,0.099324,0.107723,0.647368,0.315408,0.275915,0.34554,0.490273,0.061088,0.389179,0.173336,0.089639,0.616354,0.626003,0.565667,0.267984,0.143984,0.435027,0.487422,0.715462,0.452795,0.096267,0.479981,0.411559,0.177187,0.255282,0.471951,0.6202,0.575349,0.54552,0.338699,0.364745,0.309554,0.094726,0.488553,0.236,0.60054,0.522734,0.275713,0.43976,0.388435,0.425484,0.388685,0.375363,0.111113,0.219943,0.493419,0.477086,0.18965,0.172686,0.199859,0.066055,0.338475,0.585033,0.284677,0.223272,0.31611,0.042145,0.317314,0.513416,0.162732,0.209613,0.158239,0.251289,0.366562,0.247581,0.191585,0.360328,0.166259,0.492347,0.299172,0.284677,0.184018,0.311735,0.166075,0.326514,0.290106,0.602848,Control,Memantine,C/S,c-CS-m
